perm
    1    0	0	1e-16	1e-16	1e-16
    -12 0 0 1.000000e-19 1.000000e-19 1.000000e-19
    -13 0 0 1.000000e-13 1.000000e-13 1.000000e-13
    26531 49940 2601 6.395101e-15 6.395101e-15 6.395101e-15
    26551 49960 2601 8.745682e-15 8.745682e-15 8.745682e-15
    27561 50970 2601 5.615217e-15 5.615217e-15 5.615217e-15
    1 1 1 6.283028e-14 6.283028e-14 6.283028e-14
    2 2 1 5.124320e-14 5.124320e-14 5.124320e-14
    3 3 1 9.718411e-14 9.718411e-14 9.718411e-14
    4 4 1 6.202372e-14 6.202372e-14 6.202372e-14
    5 5 1 4.239700e-14 4.239700e-14 4.239700e-14
    6 6 1 9.309816e-14 9.309816e-14 9.309816e-14
    7 7 1 6.177336e-14 6.177336e-14 6.177336e-14
    8 8 1 8.881146e-14 8.881146e-14 8.881146e-14
    9 9 1 9.016715e-14 9.016715e-14 9.016715e-14
    10 10 1 6.053341e-14 6.053341e-14 6.053341e-14
    11 11 1 7.806046e-14 7.806046e-14 7.806046e-14
    12 12 1 7.016254e-14 7.016254e-14 7.016254e-14
    13 13 1 7.413512e-14 7.413512e-14 7.413512e-14
    14 14 1 1.024970e-13 1.024970e-13 1.024970e-13
    15 15 1 2.979552e-13 2.979552e-13 2.979552e-13
    16 16 1 1.727788e-13 1.727788e-13 1.727788e-13
    17 17 1 2.292499e-13 2.292499e-13 2.292499e-13
    18 18 1 2.208773e-13 2.208773e-13 2.208773e-13
    19 19 1 2.785411e-13 2.785411e-13 2.785411e-13
    20 20 1 2.642521e-13 2.642521e-13 2.642521e-13
    21 21 1 2.513211e-13 2.513211e-13 2.513211e-13
    22 22 1 5.629513e-13 5.629513e-13 5.629513e-13
    23 23 1 3.398303e-13 3.398303e-13 3.398303e-13
    24 24 1 1.951925e-13 1.951925e-13 1.951925e-13
    25 25 1 2.105089e-13 2.105089e-13 2.105089e-13
    26 26 1 3.126103e-13 3.126103e-13 3.126103e-13
    27 27 1 2.319424e-13 2.319424e-13 2.319424e-13
    28 28 1 4.104014e-13 4.104014e-13 4.104014e-13
    29 29 1 4.943404e-13 4.943404e-13 4.943404e-13
    30 30 1 6.292239e-13 6.292239e-13 6.292239e-13
    31 31 1 6.419541e-13 6.419541e-13 6.419541e-13
    32 32 1 1.049592e-12 1.049592e-12 1.049592e-12
    33 33 1 4.792012e-13 4.792012e-13 4.792012e-13
    34 34 1 3.352365e-13 3.352365e-13 3.352365e-13
    35 35 1 2.828160e-13 2.828160e-13 2.828160e-13
    36 36 1 3.573431e-13 3.573431e-13 3.573431e-13
    37 37 1 1.834897e-13 1.834897e-13 1.834897e-13
    38 38 1 6.905839e-14 6.905839e-14 6.905839e-14
    39 39 1 4.505759e-14 4.505759e-14 4.505759e-14
    40 40 1 1.343402e-13 1.343402e-13 1.343402e-13
    41 41 1 1.896895e-13 1.896895e-13 1.896895e-13
    42 42 1 2.016403e-13 2.016403e-13 2.016403e-13
    43 43 1 1.763334e-13 1.763334e-13 1.763334e-13
    44 44 1 1.336199e-13 1.336199e-13 1.336199e-13
    45 45 1 2.320369e-13 2.320369e-13 2.320369e-13
    46 46 1 3.850237e-13 3.850237e-13 3.850237e-13
    47 47 1 1.450983e-13 1.450983e-13 1.450983e-13
    48 48 1 4.180183e-14 4.180183e-14 4.180183e-14
    49 49 1 2.670862e-14 2.670862e-14 2.670862e-14
    50 50 1 1.660831e-14 1.660831e-14 1.660831e-14
    51 51 1 1.945076e-14 1.945076e-14 1.945076e-14
    52 52 1 6.181470e-14 6.181470e-14 6.181470e-14
    53 53 1 4.695295e-14 4.695295e-14 4.695295e-14
    54 54 1 6.720318e-14 6.720318e-14 6.720318e-14
    55 55 1 8.184764e-14 8.184764e-14 8.184764e-14
    56 56 1 4.675574e-14 4.675574e-14 4.675574e-14
    57 57 1 9.036672e-14 9.036672e-14 9.036672e-14
    58 58 1 7.100217e-14 7.100217e-14 7.100217e-14
    59 59 1 5.078618e-14 5.078618e-14 5.078618e-14
    60 60 1 1.238774e-13 1.238774e-13 1.238774e-13
    61 61 1 8.955543e-14 8.955543e-14 8.955543e-14
    62 62 1 1.139944e-13 1.139944e-13 1.139944e-13
    63 63 1 6.379390e-14 6.379390e-14 6.379390e-14
