	5.3205E-14	5.3205E-14	5.3205E-14
	4.3393E-14	4.3393E-14	4.3393E-14
	8.2296E-14	8.2296E-14	8.2296E-14
	5.2522E-14	5.2522E-14	5.2522E-14
	3.5902E-14	3.5902E-14	3.5902E-14
	7.8836E-14	7.8836E-14	7.8836E-14
	5.2310E-14	5.2310E-14	5.2310E-14
	7.5206E-14	7.5206E-14	7.5206E-14
	7.6354E-14	7.6354E-14	7.6354E-14
	5.1260E-14	5.1260E-14	5.1260E-14
	6.6102E-14	6.6102E-14	6.6102E-14
	5.9414E-14	5.9414E-14	5.9414E-14
	6.2778E-14	6.2778E-14	6.2778E-14
	8.6795E-14	8.6795E-14	8.6795E-14
	2.5231E-13	2.5231E-13	2.5231E-13
	1.4631E-13	1.4631E-13	1.4631E-13
	1.9413E-13	1.9413E-13	1.9413E-13
	1.8704E-13	1.8704E-13	1.8704E-13
	2.3587E-13	2.3587E-13	2.3587E-13
	2.2377E-13	2.2377E-13	2.2377E-13
	2.1282E-13	2.1282E-13	2.1282E-13
	4.7671E-13	4.7671E-13	4.7671E-13
	2.8777E-13	2.8777E-13	2.8777E-13
	1.6529E-13	1.6529E-13	1.6529E-13
	1.7826E-13	1.7826E-13	1.7826E-13
	2.6472E-13	2.6472E-13	2.6472E-13
	1.9641E-13	1.9641E-13	1.9641E-13
	3.4753E-13	3.4753E-13	3.4753E-13
	4.1861E-13	4.1861E-13	4.1861E-13
	5.3283E-13	5.3283E-13	5.3283E-13
	5.4361E-13	5.4361E-13	5.4361E-13
	8.8880E-13	8.8880E-13	8.8880E-13
	4.0579E-13	4.0579E-13	4.0579E-13
	2.8388E-13	2.8388E-13	2.8388E-13
	2.3949E-13	2.3949E-13	2.3949E-13
	3.0260E-13	3.0260E-13	3.0260E-13
	1.5538E-13	1.5538E-13	1.5538E-13
	5.8479E-14	5.8479E-14	5.8479E-14
	3.8155E-14	3.8155E-14	3.8155E-14
	1.1376E-13	1.1376E-13	1.1376E-13
	1.6063E-13	1.6063E-13	1.6063E-13
	1.7075E-13	1.7075E-13	1.7075E-13
	1.4932E-13	1.4932E-13	1.4932E-13
	1.1315E-13	1.1315E-13	1.1315E-13
	1.9649E-13	1.9649E-13	1.9649E-13
	3.2604E-13	3.2604E-13	3.2604E-13
	1.2287E-13	1.2287E-13	1.2287E-13
	3.5398E-14	3.5398E-14	3.5398E-14
	2.2617E-14	2.2617E-14	2.2617E-14
	1.4064E-14	1.4064E-14	1.4064E-14
	1.6471E-14	1.6471E-14	1.6471E-14
	5.2345E-14	5.2345E-14	5.2345E-14
	3.9760E-14	3.9760E-14	3.9760E-14
	5.6908E-14	5.6908E-14	5.6908E-14
	6.9309E-14	6.9309E-14	6.9309E-14
	3.9593E-14	3.9593E-14	3.9593E-14
	7.6523E-14	7.6523E-14	7.6523E-14
	6.0125E-14	6.0125E-14	6.0125E-14
	4.3006E-14	4.3006E-14	4.3006E-14
	1.0490E-13	1.0490E-13	1.0490E-13
	7.5836E-14	7.5836E-14	7.5836E-14
	9.6531E-14	9.6531E-14	9.6531E-14
	5.4021E-14	5.4021E-14	5.4021E-14
	1.2581E-13	1.2581E-13	1.2581E-13
	8.0605E-14	8.0605E-14	8.0605E-14
	1.2830E-13	1.2830E-13	1.2830E-13
	9.9218E-14	9.9218E-14	9.9218E-14
	1.1209E-13	1.1209E-13	1.1209E-13
	1.4208E-13	1.4208E-13	1.4208E-13
	2.4224E-13	2.4224E-13	2.4224E-13
	2.5300E-13	2.5300E-13	2.5300E-13
	1.4742E-13	1.4742E-13	1.4742E-13
	3.6492E-13	3.6492E-13	3.6492E-13
	4.2878E-13	4.2878E-13	4.2878E-13
	1.9546E-13	1.9546E-13	1.9546E-13
	1.3722E-13	1.3722E-13	1.3722E-13
	2.7964E-13	2.7964E-13	2.7964E-13
	1.8205E-13	1.8205E-13	1.8205E-13
	2.9154E-13	2.9154E-13	2.9154E-13
	4.2750E-13	4.2750E-13	4.2750E-13
	6.0336E-13	6.0336E-13	6.0336E-13
	4.3110E-13	4.3110E-13	4.3110E-13
	8.6050E-13	8.6050E-13	8.6050E-13
	6.2655E-13	6.2655E-13	6.2655E-13
	6.1866E-13	6.1866E-13	6.1866E-13
	2.4910E-13	2.4910E-13	2.4910E-13
	2.0646E-13	2.0646E-13	2.0646E-13
	1.7683E-13	1.7683E-13	1.7683E-13
	9.4682E-14	9.4682E-14	9.4682E-14
	4.6982E-14	4.6982E-14	4.6982E-14
	3.9283E-14	3.9283E-14	3.9283E-14
	1.0797E-13	1.0797E-13	1.0797E-13
